recognized string      |  family       |  line number
'#{'                   |  group        |  60
'if'                   |  idk          |  61
'('                    |  group        |  61
'divides'              |  idk          |  61
'('                    |  group        |  61
'i'                    |  idk          |  61
','                    |  delimiter    |  61
'x'                    |  idk          |  61
')'                    |  group        |  61
'=='                   |  relOperator  |  61
'1'                    |  number       |  61
')'                    |  group        |  61
':'                    |  delimiter    |  61
'return'               |  idk          |  62
'('                    |  group        |  62
'0'                    |  number       |  62
')'                    |  group        |  62
';'                    |  delimiter    |  62
'i'                    |  idk          |  63
'='                    |  assignment   |  63
'i'                    |  idk          |  63
'+'                    |  addOperator  |  63
'1'                    |  number       |  63
';'                    |  delimiter    |  63
'#}'                   |  group        |  64
'return'               |  idk          |  65
'('                    |  group        |  65
'1'                    |  number       |  65
')'                    |  group        |  65
';'                    |  delimiter    |  65
'#}'                   |  group        |  66
'i'                    |  idk          |  68
'='                    |  assignment   |  68
'2'                    |  number       |  68
';'                    |  delimiter    |  68
'while'                |  idk          |  69
'('                    |  group        |  69
'i'                    |  idk          |  69
'<='                   |  relOperator  |  69
'30'                   |  number       |  69
')'                    |  group        |  69
':'                    |  delimiter    |  69
'#{'                   |  group        |  70
'if'                   |  idk          |  71
'('                    |  group        |  71
'isPrime'              |  idk          |  71
'('                    |  group        |  71
'i'                    |  idk          |  71
')'                    |  group        |  71
'=='                   |  relOperator  |  71
'1'                    |  number       |  71
')'                    |  group        |  71
':'                    |  delimiter    |  71
'print'                |  idk          |  72
'('                    |  group        |  72
'i'                    |  idk          |  72
')'                    |  group        |  72
';'                    |  delimiter    |  72
'i'                    |  idk          |  73
'='                    |  assignment   |  73
'i'                    |  idk          |  73
'+'                    |  addOperator  |  73
'1'                    |  number       |  73
';'                    |  delimiter    |  73
'#}'                   |  group        |  74
'#}'                   |  group        |  75
'if'                   |  idk          |  77
'__name__'             |  idk          |  77
'=='                   |  relOperator  |  77
'"__main__"'           |  idk          |  77
':'                    |  delimiter    |  77
'main_factorial'       |  idk          |  79
'('                    |  group        |  79
')'                    |  group        |  79
';'                    |  delimiter    |  79
'main_fibonacci'       |  idk          |  80
'('                    |  group        |  80
')'                    |  group        |  80
';'                    |  delimiter    |  80
'main_countdigits'     |  idk          |  81
'('                    |  group        |  81
')'                    |  group        |  81
';'                    |  delimiter    |  81
'main_primes'          |  idk          |  82
'('                    |  group        |  82
')'                    |  group        |  82
';'                    |  delimiter    |  82
